ts,ticker,series,fav_side,fav_price,price_bin,event_cluster_id,mid,ask_close,ask_low,quote,filled,fill_px,settle,pnl,d_mid,volume
1778562720,KXARTISTSTREAMSY-COLE26DEC31-4.0B,KXARTISTSTREAMSY,yes,0.845,other,KXARTISTSTREAMSY,0.53,0.57,0.57,0.5599999999999999,False,,1.0,,0.08499999999999996,0.0
1778562780,KXARTISTSTREAMSY-COLE26DEC31-4.0B,KXARTISTSTREAMSY,yes,0.845,other,KXARTISTSTREAMSY,0.615,0.9,0.57,0.89,True,0.89,1.0,0.10999999999999999,-0.08499999999999996,0.0
1778562840,KXARTISTSTREAMSY-COLE26DEC31-4.0B,KXARTISTSTREAMSY,yes,0.845,other,KXARTISTSTREAMSY,0.53,0.55,0.55,0.54,False,,1.0,,0.0,0.0
1778562900,KXARTISTSTREAMSY-COLE26DEC31-4.0B,KXARTISTSTREAMSY,yes,0.845,other,KXARTISTSTREAMSY,0.53,0.55,0.55,0.54,False,,1.0,,0.0,0.0
1778562960,KXARTISTSTREAMSY-COLE26DEC31-4.0B,KXARTISTSTREAMSY,yes,0.845,other,KXARTISTSTREAMSY,0.53,0.55,0.55,0.54,False,,1.0,,0.0050000000000000044,0.0
1778563920,KXARTISTSTREAMSY-COLE26DEC31-4.0B,KXARTISTSTREAMSY,yes,0.845,other,KXARTISTSTREAMSY,0.535,0.55,0.55,0.54,False,,1.0,,0.0,0.0
1778563980,KXARTISTSTREAMSY-COLE26DEC31-4.0B,KXARTISTSTREAMSY,yes,0.845,other,KXARTISTSTREAMSY,0.535,0.55,0.55,0.54,False,,1.0,,0.0,0.0
1778564040,KXARTISTSTREAMSY-COLE26DEC31-4.0B,KXARTISTSTREAMSY,yes,0.845,other,KXARTISTSTREAMSY,0.535,0.55,0.55,0.54,False,,1.0,,0.0,0.0
1778564160,KXARTISTSTREAMSY-COLE26DEC31-4.0B,KXARTISTSTREAMSY,yes,0.845,other,KXARTISTSTREAMSY,0.535,0.55,0.55,0.54,False,,1.0,,0.0,0.0
1778564220,KXARTISTSTREAMSY-COLE26DEC31-4.0B,KXARTISTSTREAMSY,yes,0.845,other,KXARTISTSTREAMSY,0.535,0.55,0.55,0.54,False,,1.0,,0.0050000000000000044,0.0
1778565300,KXARTISTSTREAMSY-COLE26DEC31-4.0B,KXARTISTSTREAMSY,yes,0.845,other,KXARTISTSTREAMSY,0.54,0.55,0.55,0.54,False,,1.0,,0.21499999999999997,0.0
1778565360,KXARTISTSTREAMSY-COLE26DEC31-4.0B,KXARTISTSTREAMSY,yes,0.845,other,KXARTISTSTREAMSY,0.755,0.97,0.55,0.96,True,0.96,1.0,0.040000000000000036,0.0050000000000000044,4.0
1778565420,KXARTISTSTREAMSY-COLE26DEC31-4.0B,KXARTISTSTREAMSY,yes,0.845,other,KXARTISTSTREAMSY,0.76,0.98,0.97,0.97,True,0.97,1.0,0.030000000000000027,-0.050000000000000044,0.0
1778565660,KXARTISTSTREAMSY-COLE26DEC31-4.0B,KXARTISTSTREAMSY,yes,0.845,other,KXARTISTSTREAMSY,0.71,0.88,0.88,0.87,False,,1.0,,0.0050000000000001155,0.0
1778565720,KXARTISTSTREAMSY-COLE26DEC31-4.0B,KXARTISTSTREAMSY,yes,0.845,other,KXARTISTSTREAMSY,0.7150000000000001,0.89,0.88,0.88,True,0.88,1.0,0.12,0.004999999999999893,0.0
1778565780,KXARTISTSTREAMSY-COLE26DEC31-4.0B,KXARTISTSTREAMSY,yes,0.845,other,KXARTISTSTREAMSY,0.72,0.9,0.89,0.89,True,0.89,1.0,0.10999999999999999,0.010000000000000009,0.0
1778565840,KXARTISTSTREAMSY-COLE26DEC31-4.0B,KXARTISTSTREAMSY,yes,0.845,other,KXARTISTSTREAMSY,0.73,0.9,0.9,0.89,False,,1.0,,0.0050000000000000044,0.0
1778565960,KXARTISTSTREAMSY-COLE26DEC31-4.0B,KXARTISTSTREAMSY,yes,0.845,other,KXARTISTSTREAMSY,0.735,0.88,0.88,0.87,False,,1.0,,0.025000000000000022,0.0
1778566020,KXARTISTSTREAMSY-COLE26DEC31-4.0B,KXARTISTSTREAMSY,yes,0.845,other,KXARTISTSTREAMSY,0.76,0.88,0.88,0.87,False,,1.0,,0.010000000000000009,0.0
1778566080,KXARTISTSTREAMSY-COLE26DEC31-4.0B,KXARTISTSTREAMSY,yes,0.845,other,KXARTISTSTREAMSY,0.77,0.88,0.88,0.87,False,,1.0,,-0.015000000000000013,0.0
1778566440,KXARTISTSTREAMSY-COLE26DEC31-4.0B,KXARTISTSTREAMSY,yes,0.845,other,KXARTISTSTREAMSY,0.755,0.88,0.88,0.87,False,,1.0,,0.0050000000000000044,0.0
1778566860,KXARTISTSTREAMSY-COLE26DEC31-4.0B,KXARTISTSTREAMSY,yes,0.845,other,KXARTISTSTREAMSY,0.76,0.88,0.88,0.87,False,,1.0,,0.0050000000000000044,0.0
1778566920,KXARTISTSTREAMSY-COLE26DEC31-4.0B,KXARTISTSTREAMSY,yes,0.845,other,KXARTISTSTREAMSY,0.765,0.88,0.88,0.87,False,,1.0,,0.015000000000000013,0.0
1778566980,KXARTISTSTREAMSY-COLE26DEC31-4.0B,KXARTISTSTREAMSY,yes,0.845,other,KXARTISTSTREAMSY,0.78,0.91,0.88,0.9,True,0.9,1.0,0.09999999999999998,0.0,0.0
1778567040,KXARTISTSTREAMSY-COLE26DEC31-4.0B,KXARTISTSTREAMSY,yes,0.845,other,KXARTISTSTREAMSY,0.78,0.91,0.91,0.9,False,,1.0,,0.03499999999999992,0.0
1778567100,KXARTISTSTREAMSY-COLE26DEC31-4.0B,KXARTISTSTREAMSY,yes,0.845,other,KXARTISTSTREAMSY,0.815,0.91,0.91,0.9,False,,1.0,,0.0050000000000001155,0.0
1778567640,KXARTISTSTREAMSY-COLE26DEC31-4.0B,KXARTISTSTREAMSY,yes,0.845,other,KXARTISTSTREAMSY,0.8200000000000001,0.91,0.91,0.9,False,,1.0,,0.004999999999999893,0.0
1778567700,KXARTISTSTREAMSY-COLE26DEC31-4.0B,KXARTISTSTREAMSY,yes,0.845,other,KXARTISTSTREAMSY,0.825,0.91,0.91,0.9,False,,1.0,,-0.010000000000000009,0.0
1778567820,KXARTISTSTREAMSY-COLE26DEC31-4.0B,KXARTISTSTREAMSY,yes,0.845,other,KXARTISTSTREAMSY,0.815,0.91,0.91,0.9,False,,1.0,,-0.010000000000000009,0.0
1778568120,KXARTISTSTREAMSY-COLE26DEC31-4.0B,KXARTISTSTREAMSY,yes,0.845,other,KXARTISTSTREAMSY,0.8049999999999999,0.89,0.89,0.88,False,,1.0,,0.0050000000000001155,0.0
1778568240,KXARTISTSTREAMSY-COLE26DEC31-4.0B,KXARTISTSTREAMSY,yes,0.845,other,KXARTISTSTREAMSY,0.81,0.89,0.89,0.88,False,,1.0,,0.004999999999999893,0.0
1778568300,KXARTISTSTREAMSY-COLE26DEC31-4.0B,KXARTISTSTREAMSY,yes,0.845,other,KXARTISTSTREAMSY,0.815,0.89,0.89,0.88,False,,1.0,,0.0050000000000001155,0.0
1778568540,KXARTISTSTREAMSY-COLE26DEC31-4.0B,KXARTISTSTREAMSY,yes,0.845,other,KXARTISTSTREAMSY,0.8200000000000001,0.89,0.89,0.88,False,,1.0,,0.004999999999999893,0.0
1778568600,KXARTISTSTREAMSY-COLE26DEC31-4.0B,KXARTISTSTREAMSY,yes,0.845,other,KXARTISTSTREAMSY,0.825,0.89,0.89,0.88,False,,1.0,,-0.020000000000000018,0.0
1778569680,KXARTISTSTREAMSY-COLE26DEC31-4.0B,KXARTISTSTREAMSY,yes,0.845,other,KXARTISTSTREAMSY,0.8049999999999999,0.89,0.89,0.88,False,,1.0,,-0.014999999999999902,0.0
1778569980,KXARTISTSTREAMSY-COLE26DEC31-4.0B,KXARTISTSTREAMSY,yes,0.845,other,KXARTISTSTREAMSY,0.79,0.89,0.89,0.88,False,,1.0,,0.004999999999999893,0.0
1778570040,KXARTISTSTREAMSY-COLE26DEC31-4.0B,KXARTISTSTREAMSY,yes,0.845,other,KXARTISTSTREAMSY,0.7949999999999999,0.89,0.89,0.88,False,,1.0,,0.020000000000000018,0.0
1778570160,KXARTISTSTREAMSY-COLE26DEC31-4.0B,KXARTISTSTREAMSY,yes,0.845,other,KXARTISTSTREAMSY,0.815,0.89,0.89,0.88,False,,1.0,,0.0050000000000001155,0.0
1778570280,KXARTISTSTREAMSY-COLE26DEC31-4.0B,KXARTISTSTREAMSY,yes,0.845,other,KXARTISTSTREAMSY,0.8200000000000001,0.89,0.89,0.88,False,,1.0,,0.0,0.0
1778571300,KXARTISTSTREAMSY-COLE26DEC31-4.0B,KXARTISTSTREAMSY,yes,0.845,other,KXARTISTSTREAMSY,0.8200000000000001,0.89,0.89,0.88,False,,1.0,,0.02499999999999991,0.0
1778571660,KXARTISTSTREAMSY-COLE26DEC31-4.0B,KXARTISTSTREAMSY,yes,0.845,other,KXARTISTSTREAMSY,0.845,0.89,0.89,0.88,False,,1.0,,-0.02499999999999991,0.0
