scope,n_quotes,n_fills,fill_rate,fill_edge_c,boot_lo_c,boot_hi_c,e_dmid_fill_c,e_dmid_nofill_c,as_ratio
overall,370,54,0.1459,-17.13,-53.0,-1.0,-0.481,0.019,-25.117
0.90-0.95,35,1,0.0286,-1.0,-1.0,-1.0,0.0,-0.235,-0.0
0.95-0.99,45,0,0.0,0.0,0.0,0.0,,-0.114,
0.99-1.00,0,0,0.0,0.0,0.0,0.0,,,
